kind,strike,expiry_days,bid,ask,mid,iv,volume,open_interest,spot
call,65.0,7,34.12,35.98,35.05,0.3981,13,261,100.0
put,65.0,7,0.0,0.02,0.01,0.3981,6,236,100.0
call,67.5,7,31.75,33.35,32.55,0.3815,17,307,100.0
put,67.5,7,0.0,0.02,0.01,0.3815,16,329,100.0
call,70.0,7,29.37,30.74,30.05,0.3665,26,416,100.0
put,70.0,7,0.0,0.02,0.01,0.3665,22,375,100.0
call,72.5,7,26.97,28.14,27.56,0.3529,29,509,100.0
put,72.5,7,0.0,0.02,0.01,0.3529,25,492,100.0
call,75.0,7,24.57,25.54,25.06,0.3406,46,672,100.0
put,75.0,7,0.0,0.02,0.01,0.3406,45,670,100.0
call,77.5,7,22.16,22.96,22.56,0.3295,60,869,100.0
put,77.5,7,0.0,0.02,0.01,0.3295,74,840,100.0
call,80.0,7,19.74,20.39,20.06,0.3194,87,1099,100.0
put,80.0,7,0.0,0.02,0.01,0.3194,101,1095,100.0
call,82.5,7,17.31,17.82,17.56,0.3103,147,1357,100.0
put,82.5,7,0.0,0.02,0.01,0.3103,159,1313,100.0
call,85.0,7,14.87,15.26,15.07,0.3021,202,1792,100.0
put,85.0,7,0.0,0.02,0.01,0.3021,218,1828,100.0
call,87.5,7,12.42,12.71,12.57,0.2948,318,2238,100.0
put,87.5,7,0.0,0.02,0.01,0.2948,286,2285,100.0
call,90.0,7,9.97,10.18,10.07,0.2882,434,2921,100.0
put,90.0,7,0.0,0.02,0.01,0.2882,480,2990,100.0
call,92.5,7,7.53,7.67,7.6,0.2823,646,3684,100.0
put,92.5,7,0.02,0.04,0.03,0.2823,646,3744,100.0
call,95.0,7,5.18,5.26,5.22,0.2771,912,4907,100.0
put,95.0,7,0.14,0.16,0.15,0.2771,939,4869,100.0
call,97.5,7,3.1,3.13,3.11,0.2725,1313,6030,100.0
put,97.5,7,0.53,0.55,0.54,0.2725,1356,6113,100.0
call,100.0,7,1.51,1.53,1.52,0.2685,1952,8021,100.0
put,100.0,7,1.43,1.45,1.44,0.2685,2012,8228,100.0
call,102.5,7,0.57,0.59,0.58,0.265,1407,6227,100.0
put,102.5,7,2.98,3.02,3.0,0.265,1448,6224,100.0
call,105.0,7,0.15,0.17,0.16,0.262,929,4840,100.0
put,105.0,7,5.04,5.12,5.08,0.262,977,4766,100.0
call,107.5,7,0.02,0.04,0.03,0.2595,612,3739,100.0
put,107.5,7,7.39,7.51,7.45,0.2595,667,3690,100.0
call,110.0,7,0.0,0.02,0.01,0.2574,428,2951,100.0
put,110.0,7,9.82,10.02,9.92,0.2574,469,2914,100.0
call,112.5,7,0.0,0.02,0.01,0.2557,296,2257,100.0
put,112.5,7,12.28,12.55,12.41,0.2557,287,2283,100.0
call,115.0,7,0.0,0.02,0.01,0.2544,232,1846,100.0
put,115.0,7,14.73,15.09,14.91,0.2544,212,1821,100.0
call,117.5,7,0.0,0.02,0.01,0.2534,140,1418,100.0
put,117.5,7,17.18,17.64,17.41,0.2534,168,1340,100.0
call,120.0,7,0.0,0.02,0.01,0.2528,88,1092,100.0
put,120.0,7,19.63,20.19,19.91,0.2528,90,1083,100.0
call,122.5,7,0.0,0.02,0.01,0.2525,58,804,100.0
put,122.5,7,22.07,22.75,22.41,0.2525,73,815,100.0
call,125.0,7,0.0,0.02,0.01,0.2525,52,623,100.0
put,125.0,7,24.5,25.31,24.9,0.2525,59,641,100.0
call,127.5,7,0.0,0.02,0.01,0.2527,29,520,100.0
put,127.5,7,26.93,27.87,27.4,0.2527,25,554,100.0
call,130.0,7,0.0,0.02,0.01,0.2532,22,420,100.0
put,130.0,7,29.36,30.44,29.9,0.2532,18,404,100.0
call,132.5,7,0.0,0.02,0.01,0.254,16,304,100.0
put,132.5,7,31.78,33.02,32.4,0.254,15,296,100.0
call,135.0,7,0.0,0.02,0.01,0.255,14,212,100.0
put,135.0,7,34.2,35.59,34.9,0.255,8,268,100.0
call,65.0,21,34.22,36.08,35.15,0.3954,8,220,100.0
put,65.0,21,0.0,0.02,0.01,0.3954,4,208,100.0
call,67.5,21,31.85,33.46,32.66,0.3789,17,301,100.0
put,67.5,21,0.0,0.02,0.01,0.3789,6,296,100.0
call,70.0,21,29.47,30.85,30.16,0.3639,23,353,100.0
put,70.0,21,0.0,0.02,0.01,0.3639,22,420,100.0
call,72.5,21,27.08,28.25,27.67,0.3503,42,537,100.0
put,72.5,21,0.0,0.02,0.01,0.3503,37,531,100.0
call,75.0,21,24.68,25.66,25.17,0.338,48,688,100.0
put,75.0,21,0.0,0.02,0.01,0.338,45,638,100.0
call,77.5,21,22.28,23.08,22.68,0.3268,68,819,100.0
put,77.5,21,0.0,0.02,0.01,0.3268,65,833,100.0
call,80.0,21,19.86,20.51,20.19,0.3167,116,1066,100.0
put,80.0,21,0.0,0.02,0.01,0.3167,111,1115,100.0
call,82.5,21,17.44,17.96,17.7,0.3076,150,1417,100.0
put,82.5,21,0.0,0.02,0.01,0.3076,152,1342,100.0
call,85.0,21,15.02,15.42,15.22,0.2995,188,1714,100.0
put,85.0,21,0.01,0.03,0.02,0.2995,225,1822,100.0
call,87.5,21,12.62,12.92,12.77,0.2921,344,2304,100.0
put,87.5,21,0.06,0.08,0.07,0.2921,313,2301,100.0
call,90.0,21,10.26,10.47,10.37,0.2855,444,2987,100.0
put,90.0,21,0.15,0.17,0.16,0.2855,446,3045,100.0
call,92.5,21,8.0,8.15,8.08,0.2797,614,3807,100.0
put,92.5,21,0.35,0.37,0.36,0.2797,671,3749,100.0
call,95.0,21,5.92,6.01,5.97,0.2745,970,4825,100.0
put,95.0,21,0.74,0.76,0.75,0.2745,909,4989,100.0
call,97.5,21,4.11,4.16,4.14,0.2699,1362,6242,100.0
put,97.5,21,1.4,1.42,1.41,0.2699,1407,6202,100.0
call,100.0,21,2.64,2.67,2.66,0.2658,1939,8035,100.0
put,100.0,21,2.42,2.44,2.43,0.2658,2011,8095,100.0
