kind,strike,expiry_days,bid,ask,mid,iv,volume,open_interest,spot
call,37.5,7,23.79,25.27,24.53,0.7676,7,153,62.0
put,37.5,7,0.0,0.02,0.01,0.7676,6,163,62.0
call,40.0,7,21.44,22.62,22.03,0.7321,11,250,62.0
put,40.0,7,0.0,0.02,0.01,0.7321,12,249,62.0
call,42.5,7,19.07,20.0,19.53,0.7015,18,337,62.0
put,42.5,7,0.0,0.02,0.01,0.7015,13,361,62.0
call,45.0,7,16.68,17.39,17.03,0.675,31,519,62.0
put,45.0,7,0.0,0.02,0.01,0.675,29,492,62.0
call,47.5,7,14.27,14.8,14.54,0.652,65,728,62.0
put,47.5,7,0.0,0.02,0.01,0.652,51,760,62.0
call,50.0,7,11.86,12.24,12.05,0.632,100,1154,62.0
put,50.0,7,0.0,0.02,0.01,0.632,101,1193,62.0
call,52.5,7,9.46,9.71,9.59,0.6148,220,1782,62.0
put,52.5,7,0.04,0.06,0.05,0.6148,208,1747,62.0
call,55.0,7,7.12,7.28,7.2,0.5999,339,2494,62.0
put,55.0,7,0.15,0.17,0.16,0.5999,365,2530,62.0
call,57.5,7,4.96,5.04,5.0,0.5871,710,3920,62.0
put,57.5,7,0.45,0.47,0.46,0.5871,684,3826,62.0
call,60.0,7,3.11,3.15,3.13,0.5761,1184,5824,62.0
put,60.0,7,1.08,1.1,1.09,0.5761,1202,5836,62.0
call,62.5,7,1.72,1.74,1.73,0.5668,1854,7475,62.0
put,62.5,7,2.17,2.19,2.18,0.5668,1821,7411,62.0
call,65.0,7,0.82,0.84,0.83,0.5589,984,4790,62.0
put,65.0,7,3.75,3.81,3.78,0.5589,925,4896,62.0
call,67.5,7,0.33,0.35,0.34,0.5523,505,3328,62.0
put,67.5,7,5.73,5.84,5.79,0.5523,514,3284,62.0
call,70.0,7,0.11,0.13,0.12,0.547,278,2197,62.0
put,70.0,7,7.98,8.15,8.06,0.547,306,2161,62.0
call,72.5,7,0.03,0.05,0.04,0.5427,156,1492,62.0
put,72.5,7,10.35,10.61,10.48,0.5427,163,1457,62.0
call,75.0,7,0.0,0.02,0.01,0.5393,95,977,62.0
put,75.0,7,12.76,13.14,12.95,0.5393,77,957,62.0
call,77.5,7,0.0,0.02,0.01,0.5368,53,648,62.0
put,77.5,7,15.19,15.69,15.44,0.5368,54,669,62.0
call,80.0,7,0.0,0.02,0.01,0.5352,30,434,62.0
put,80.0,7,17.62,18.26,17.94,0.5352,23,434,62.0
call,82.5,7,0.0,0.02,0.01,0.5342,13,325,62.0
put,82.5,7,20.04,20.83,20.44,0.5342,15,270,62.0
call,85.0,7,0.0,0.02,0.01,0.5339,3,180,62.0
put,85.0,7,22.46,23.41,22.93,0.5339,6,177,62.0
call,87.5,7,0.0,0.02,0.01,0.5343,6,135,62.0
put,87.5,7,24.87,26.0,25.43,0.5343,5,165,62.0
call,37.5,14,23.82,25.3,24.56,0.7662,7,144,62.0
put,37.5,14,0.0,0.02,0.01,0.7662,3,140,62.0
call,40.0,14,21.47,22.66,22.06,0.7308,12,205,62.0
put,40.0,14,0.0,0.02,0.01,0.7308,6,222,62.0
call,42.5,14,19.1,20.04,19.57,0.7001,13,345,62.0
put,42.5,14,0.0,0.02,0.01,0.7001,13,330,62.0
call,45.0,14,16.73,17.44,17.09,0.6736,24,499,62.0
put,45.0,14,0.01,0.03,0.02,0.6736,30,520,62.0
call,47.5,14,14.35,14.88,14.62,0.6506,59,735,62.0
put,47.5,14,0.03,0.05,0.04,0.6506,60,784,62.0
call,50.0,14,11.99,12.38,12.19,0.6306,116,1166,62.0
put,50.0,14,0.1,0.12,0.11,0.6306,94,1090,62.0
call,52.5,14,9.7,9.96,9.83,0.6134,172,1681,62.0
put,52.5,14,0.24,0.26,0.25,0.6134,214,1705,62.0
call,55.0,14,7.53,7.7,7.62,0.5985,371,2610,62.0
put,55.0,14,0.52,0.54,0.53,0.5985,388,2547,62.0
call,57.5,14,5.57,5.66,5.62,0.5857,630,3887,62.0
put,57.5,14,1.02,1.04,1.03,0.5857,628,3833,62.0
call,60.0,14,3.88,3.93,3.91,0.5747,1261,5744,62.0
put,60.0,14,1.8,1.83,1.82,0.5747,1310,5755,62.0
call,62.5,14,2.54,2.56,2.55,0.5654,1759,7374,62.0
put,62.5,14,2.94,2.97,2.95,0.5654,1749,7320,62.0
call,65.0,14,1.54,1.56,1.55,0.5575,977,4995,62.0
put,65.0,14,4.42,4.48,4.45,0.5575,944,4955,62.0
call,67.5,14,0.87,0.89,0.88,0.5509,505,3275,62.0
put,67.5,14,6.22,6.33,6.27,0.5509,547,3288,62.0
call,70.0,14,0.45,0.47,0.46,0.5456,318,2267,62.0
put,70.0,14,8.26,8.45,8.35,0.5456,296,2217,62.0
call,72.5,14,0.22,0.24,0.23,0.5413,162,1437,62.0
put,72.5,14,10.48,10.75,10.62,0.5413,161,1441,62.0
call,75.0,14,0.09,0.11,0.1,0.5379,83,975,62.0
put,75.0,14,12.8,13.18,12.99,0.5379,93,1015,62.0
call,77.5,14,0.04,0.06,0.05,0.5355,44,665,62.0
put,77.5,14,15.18,15.68,15.43,0.5355,41,669,62.0
call,80.0,14,0.01,0.03,0.02,0.5338,30,419,62.0
put,80.0,14,17.58,18.21,17.9,0.5338,26,437,62.0
call,82.5,14,0.0,0.02,0.01,0.5328,8,280,62.0
put,82.5,14,19.99,20.77,20.38,0.5328,23,300,62.0
call,85.0,14,0.0,0.02,0.01,0.5325,9,180,62.0
put,85.0,14,22.4,23.35,22.87,0.5325,6,182,62.0
call,87.5,14,0.0,0.02,0.01,0.5329,5,140,62.0
put,87.5,14,24.8,25.93,25.37,0.5329,3,136,62.0
call,37.5,30,23.92,25.4,24.66,0.7634,3,157,62.0
put,37.5,30,0.03,0.05,0.04,0.7634,3,188,62.0
call,40.0,30,21.6,22.79,22.2,0.728,12,250,62.0
put,40.0,30,0.05,0.07,0.06,0.728,5,199,62.0
call,42.5,30,19.28,20.22,19.75,0.6973,13,326,62.0
put,42.5,30,0.1,0.12,0.11,0.6973,18,352,62.0
call,45.0,30,16.98,17.7,17.34,0.6708,34,554,62.0
put,45.0,30,0.18,0.2,0.19,0.6708,43,483,62.0
call,47.5,30,14.71,15.26,14.98,0.6478,56,797,62.0
