kind,strike,expiry_days,bid,ask,mid,iv,volume,open_interest,spot
call,135.0,21,49.27,51.35,50.31,0.2221,42,517,185.0
put,135.0,21,0.0,0.02,0.01,0.2221,36,524,185.0
call,140.0,21,44.46,46.18,45.32,0.2109,55,651,185.0
put,140.0,21,0.0,0.02,0.01,0.2109,54,734,185.0
call,145.0,21,39.64,41.03,40.33,0.201,81,916,185.0
put,145.0,21,0.0,0.02,0.01,0.201,92,885,185.0
call,150.0,21,34.8,35.89,35.34,0.1922,122,1216,185.0
put,150.0,21,0.0,0.02,0.01,0.1922,117,1204,185.0
call,155.0,21,29.94,30.78,30.36,0.1845,164,1563,185.0
put,155.0,21,0.0,0.02,0.01,0.1845,181,1615,185.0
call,160.0,21,25.06,25.68,25.37,0.1777,274,2068,185.0
put,160.0,21,0.0,0.02,0.01,0.1777,251,2032,185.0
call,165.0,21,20.17,20.6,20.38,0.1719,390,2665,185.0
put,165.0,21,0.0,0.02,0.01,0.1719,441,2721,185.0
call,170.0,21,15.29,15.57,15.43,0.1668,621,3576,185.0
put,170.0,21,0.03,0.05,0.04,0.1668,598,3599,185.0
call,175.0,21,10.53,10.7,10.61,0.1625,910,4654,185.0
put,175.0,21,0.2,0.22,0.21,0.1625,910,4587,185.0
call,180.0,21,6.24,6.32,6.28,0.1588,1330,6160,185.0
put,180.0,21,0.86,0.88,0.87,0.1588,1378,6198,185.0
call,185.0,21,2.96,2.99,2.97,0.1558,2015,7934,185.0
put,185.0,21,2.54,2.56,2.55,0.1558,1927,7958,185.0
call,190.0,21,1.04,1.06,1.05,0.1534,1331,6055,185.0
put,190.0,21,5.58,5.65,5.61,0.1534,1376,6195,185.0
call,195.0,21,0.25,0.27,0.26,0.1515,959,4565,185.0
put,195.0,21,9.74,9.89,9.81,0.1515,888,4580,185.0
call,200.0,21,0.03,0.05,0.04,0.1502,536,3482,185.0
put,200.0,21,14.46,14.71,14.58,0.1502,587,3517,185.0
call,205.0,21,0.0,0.02,0.01,0.1493,402,2737,185.0
put,205.0,21,19.34,19.73,19.53,0.1493,393,2766,185.0
call,210.0,21,0.0,0.02,0.01,0.1488,265,2051,185.0
put,210.0,21,24.24,24.8,24.52,0.1488,239,2166,185.0
call,215.0,21,0.0,0.02,0.01,0.1487,179,1555,185.0
put,215.0,21,29.14,29.88,29.51,0.1487,181,1574,185.0
call,220.0,21,0.0,0.02,0.01,0.149,104,1202,185.0
put,220.0,21,34.02,34.97,34.49,0.149,111,1161,185.0
call,225.0,21,0.0,0.02,0.01,0.1497,97,921,185.0
put,225.0,21,38.9,40.07,39.48,0.1497,76,921,185.0
call,230.0,21,0.0,0.02,0.01,0.1507,47,735,185.0
put,230.0,21,43.76,45.18,44.47,0.1507,47,694,185.0
call,235.0,21,0.0,0.02,0.01,0.1519,31,529,185.0
put,235.0,21,48.62,50.3,49.46,0.1519,38,548,185.0
call,135.0,45,49.61,51.72,50.66,0.2184,32,551,185.0
put,135.0,45,0.0,0.02,0.01,0.2184,32,541,185.0
call,140.0,45,44.82,46.55,45.69,0.2072,63,667,185.0
put,140.0,45,0.0,0.02,0.01,0.2072,58,711,185.0
call,145.0,45,40.01,41.41,40.71,0.1973,74,922,185.0
put,145.0,45,0.0,0.02,0.01,0.1973,69,899,185.0
call,150.0,45,35.19,36.29,35.74,0.1885,101,1183,185.0
put,150.0,45,0.0,0.02,0.01,0.1885,110,1194,185.0
call,155.0,45,30.34,31.2,30.77,0.1808,169,1516,185.0
put,155.0,45,0.0,0.02,0.01,0.1808,163,1581,185.0
call,160.0,45,25.49,26.13,25.81,0.174,254,2108,185.0
put,160.0,45,0.01,0.03,0.02,0.174,287,2108,185.0
call,165.0,45,20.67,21.12,20.89,0.1682,384,2757,185.0
put,165.0,45,0.07,0.09,0.08,0.1682,404,2757,185.0
call,170.0,45,15.94,16.24,16.09,0.1631,600,3464,185.0
put,170.0,45,0.25,0.27,0.26,0.1631,587,3547,185.0
call,175.0,45,11.48,11.66,11.57,0.1588,880,4752,185.0
put,175.0,45,0.7,0.72,0.71,0.1588,933,4625,185.0
call,180.0,45,7.53,7.62,7.58,0.1551,1325,6106,185.0
put,180.0,45,1.68,1.7,1.69,0.1551,1318,6086,185.0
call,185.0,45,4.38,4.43,4.4,0.1521,2050,8007,185.0
